"https://arxiv.org/abs/0708.4132","Exploring spatial nonlinearity using additive approximation"
"https://arxiv.org/abs/0805.1301","Hierarchical Models, Marginal Polytopes, and Linear Codes"
"https://arxiv.org/abs/0807.4719","On an Auxiliary Function for Log-Density Estimation"
"https://arxiv.org/abs/0809.0786","Neighborliness of Marginal Polytopes"
"https://arxiv.org/abs/0905.2547","Statistical analysis of stellar evolution"
"https://arxiv.org/abs/0906.0177","Optimal-order bounds on the rate of convergence to normality in the multivariate delta method"
"https://arxiv.org/abs/0912.0284","Hodge Theory on Metric Spaces"
"https://arxiv.org/abs/1001.3090","Feature Extraction for Universal Hypothesis Testing via Rank-constrained Optimization"
"https://arxiv.org/abs/1002.0747","Efficient Bayesian Learning in Social Networks with Gaussian Estimators"
"https://arxiv.org/abs/1004.0887","A pruned dynamic programming algorithm to recover the best segmentations with $1$ to $K_{max}$ change-points"
"https://arxiv.org/abs/1005.5483","Model Selection Principles in Misspecified Models"
"https://arxiv.org/abs/1006.4334","On Computing Upper Limits to Source Intensities"
"https://arxiv.org/abs/1009.0679","Optimal Uncertainty Quantification"
"https://arxiv.org/abs/1011.4291","The Neutron Star Mass Distribution"
"https://arxiv.org/abs/1011.6256","Nuclear norm penalization and optimal rates for noisy low rank matrix completion"
"https://arxiv.org/abs/1102.2254","Matrix completion with column manipulation: Near-optimal sample-robustness-rank tradeoffs"
"https://arxiv.org/abs/1102.4610","Accounting for Calibration Uncertainties in X-ray Analysis: Effective Areas in Spectral Fitting"
"https://arxiv.org/abs/1104.0475","On a recent development in stochastic inversion with applications to hydrogeology"
"https://arxiv.org/abs/1104.1897","Cross-Fertilizing Strategies for Better EM Mountain Climbing and DA Field Exploration: A Graphical Guide Book"
"https://arxiv.org/abs/1104.5326","Density Approximations for Multivariate Affine Jump-Diffusion Processes"
"https://arxiv.org/abs/1105.1430","On the generic uniform uniqueness of the LASSO estimator"
"https://arxiv.org/abs/1105.5332","Multidimensional Scaling in the Poincare Disk"
"https://arxiv.org/abs/1105.5578","Variable selection with error control: Another look at Stability Selection"
"https://arxiv.org/abs/1106.2467","Sharp oracle inequalities and slope heuristic for specification probabilities estimation in discrete random fields"
"https://arxiv.org/abs/1107.0312","Approximate group context tree"
"https://arxiv.org/abs/1108.2903","Kernel Methods for the Approximation of Nonlinear Systems"
"https://arxiv.org/abs/1109.5998","Estimating beta-mixing coefficients via histograms"
"https://arxiv.org/abs/1110.1228","Order-distance and other metric-like functions on jointly distributed random variables"
"https://arxiv.org/abs/1110.1462","Dynamic Clustering of Histogram Data Based on Adaptive Squared Wasserstein Distances"
"https://arxiv.org/abs/1110.1615","Estimation of time-delayed mutual information and bias for irregularly and sparsely sampled time-series"
"https://arxiv.org/abs/1110.2295","Basic statistics for probabilistic symbolic variables: a novel metric-based approach"
"https://arxiv.org/abs/1110.6178","Parameter Estimation with BEAMS in the presence of biases and correlations"
"https://arxiv.org/abs/1111.3988","A functional Generalized Hill process and applications"
"https://arxiv.org/abs/1111.5866","Particle-kernel estimation of the filter density in state-space models"
"https://arxiv.org/abs/1112.4519","A comprehensive error rate for multiple testing"
"https://arxiv.org/abs/1201.0418","A New Family of Bounded Divergence Measures and Application to Signal Detection"
"https://arxiv.org/abs/1201.2591","Positive margins and primary decomposition"
"https://arxiv.org/abs/1201.6634","Wishart Processes and Wishart Distributions: An Affine Processes Point of View"
